claim_id,route,section,website_source_file,website_source_reference,website_claim,primary_classification,secondary_flags,ppt_supported,ppt_source_file,ppt_slide,ppt_source_summary,external_verification_required,legal_review_required,founder_approval_required,risk_level,approval_owner,recommended_action,notes
"EVENTS-001","/events","metadata and hero","apps/web/src/app/events/page.tsx","lines 25-30","The events platform is planned and includes future organiser publishing registration privacy and accessibility concepts.","H","C;D;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","17","Source presents a global events calendar and named events.","No","Yes","Yes","High","Event governance","Keep but label planned","No live calendar."
"EVENTS-002","/events","organisers","apps/web/src/content/events.ts","lines 38-242","Organisers would follow eligibility verification review monitoring and closure controls.","C","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Event governance","Governance review","New organiser model."
"EVENTS-003","/events","lifecycle","apps/web/src/content/events.ts","lines 244-322","A proposed 13-stage event lifecycle runs from draft to archive cancellation or postponement.","C","D","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Event governance","Governance review","New operating state model."
"EVENTS-004","/events","registration privacy","apps/web/src/content/events.ts","lines 325-391","Future registration uses data minimisation purpose boundaries and attendee privacy.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Privacy","Legal review","Processing cannot start before approved notice."
"EVENTS-005","/events","hybrid and recordings","apps/web/src/content/events.ts","lines 443-470","Hybrid recorded and archived events may be offered subject to rights and consent.","H","D;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","6;17","Source proposes live streaming and events.","No","Yes","Yes","High","Event governance","Legal review","No streaming is active."
"EVENTS-006","/events","safety","apps/web/src/content/events.ts","lines 501-550","Accessibility safeguarding moderation emergency boundaries and launch readiness are required.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Event governance","Governance review","New safety policy."
"EVENTS-007","/events","availability FAQ","apps/web/src/content/events.ts","lines 552-660","No event calendar submission registration ticketing or chapter event is currently active.","J","H","Yes","source-materials/Tamil-Ulagam-Source.pptx","17","Source names and presents events without qualification.","No","No","No","Low","No approval required","Keep as written","Repeated status is proportionate."
"NEWS-001","/news","metadata and hero","apps/web/src/app/news/page.tsx","lines 27-32","A planned newsroom may publish verified announcements stories knowledge and multilingual communication.","H","C;D","Yes","source-materials/Tamil-Ulagam-Source.pptx","6-7","Source proposes real-time news and community feed.","No","Yes","Yes","High","Editorial","Keep but label planned","No current publication is claimed."
"NEWS-002","/news","publication types","apps/web/src/content/news.ts","lines 60-194","Future publications are separated into announcements updates stories resources editorials notices and coverage.","C","D","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Medium","Editorial","Governance review","New editorial taxonomy."
"NEWS-003","/news","workflow","apps/web/src/content/news.ts","lines 196-305","A proposed 12-step workflow covers sourcing review approval accessibility publication and corrections.","C","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Editorial","Governance review","New operating workflow."
"NEWS-004","/news","verification authorship","apps/web/src/content/news.ts","lines 308-351","Sources fact-checking authorship attribution and conflicts should be transparent.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Editorial","Governance review","New editorial policy."
"NEWS-005","/news","stories and corrections","apps/web/src/content/news.ts","lines 354-412","Community stories require consent and safeguarding and the public record supports correction withdrawal archive or retraction.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Editorial","Legal review","Rights and consent processes required."
"NEWS-006","/news","languages distribution","apps/web/src/content/news.ts","lines 415-520","Tamil English translation accessibility discovery archives and notifications are future capabilities.","C","H;D;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","6-7","Source proposes four languages real-time news and feed.","No","Yes","Yes","High","Editorial","Governance review","No real-time or four-language claim."
"NEWS-007","/news","availability","apps/web/src/content/news.ts","lines 522-700","No articles submissions alerts or placeholder stories are available.","J","H","Yes","source-materials/Tamil-Ulagam-Source.pptx","6-7","Source presents news capabilities.","No","No","No","Low","No approval required","Keep as written","Prevents false publication record."
"CONTACT-001","/contact","metadata and hero","apps/web/src/app/contact/page.tsx","lines 20-24","Future enquiry pathways may cover partnerships chapters initiatives events editorial privacy and feedback.","C","J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Medium","Operations","Governance review","Contact routing remains in development."
"CONTACT-002","/contact","information boundaries","apps/web/src/content/contact.ts","lines 151-241","Enquiries should be proportionate and must avoid passwords identity documents medical records and unnecessary sensitive data.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Privacy","Legal review","New safety/privacy guidance."
"CONTACT-003","/contact","response emergency","apps/web/src/content/contact.ts","lines 243-275","No response time is guaranteed and the website is not an emergency service.","J","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","No","High","Legal counsel","Keep as written","Essential boundary."
"CONTACT-004","/contact","representatives","apps/web/src/content/contact.ts","lines 277-302","Organisational enquiries require authorised representatives and do not establish authority or partnership.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Operations","Governance review","New authority model."
"CONTACT-005","/contact","workflow","apps/web/src/content/contact.ts","lines 305-372","A future ten-stage enquiry workflow would govern receipt routing ownership response closure and reopening.","C","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Operations","Governance review","No channel currently accepts data."
"CONTACT-006","/contact","source contacts","apps/web/src/content/contact.ts","lines 376-448","No working form email phone membership chapter event or article submission is published.","H","J;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","22","Source prints a domain email and phone.","Yes","Yes","Yes","High","Operations","Verify externally","Source contact details are intentionally not reproduced."
"PRIVACY-001","/privacy","draft status","apps/web/src/content/legal.ts","lines 121-174","The Privacy Policy is a draft foundation and not an approved operational notice.","J","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","No","High","Legal counsel","Legal review","Must remain conspicuously draft."
"PRIVACY-002","/privacy","controller","apps/web/src/content/legal.ts","lines 179-197","The accountable legal entity website operator and privacy contact are not confirmed.","F","D;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","Yes","Yes","Yes","Critical","Legal counsel","Defer until operational","Blocks approved notice."
"PRIVACY-003","/privacy","current processing","apps/web/src/content/legal.ts","lines 199-217","The current public website does not intentionally provide account application payment or submission processing.","J","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","Yes","Yes","No","High","Privacy","Verify externally","Must be checked against actual hosting/logging before publication."
"PRIVACY-004","/privacy","future data and purposes","apps/web/src/content/legal.ts","lines 218-267","Future identity membership chapter event partner and contact data categories and purposes are provisional.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Privacy","Legal review","Processing map required."
"PRIVACY-005","/privacy","legal bases children","apps/web/src/content/legal.ts","lines 268-313","Legal bases and children safeguards are undecided and require jurisdiction-aware approval.","F","D","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Legal counsel","Legal review","No child processing before approval."
"PRIVACY-006","/privacy","processors transfers retention","apps/web/src/content/legal.ts","lines 305-361","Processors international transfers and retention schedules are not yet confirmed.","F","D;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","Yes","Yes","Yes","Critical","Privacy","Legal review","Vendor/location inventory required."
"PRIVACY-007","/privacy","rights cookies automation","apps/web/src/content/legal.ts","lines 363-422","Rights cookies and automated recommendations require specific operational and legal decisions.","F","D","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Legal counsel","Legal review","Includes future AI/recommendation implications."
"PRIVACY-008","/privacy","launch checklist","apps/web/src/content/legal.ts","lines 423-485","An approved privacy notice must replace the draft before personal-data processing begins.","F","J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Legal counsel","Remove before launch","Replace draft with approved notice at operational launch."
"TERMS-001","/terms","draft status","apps/web/src/content/legal.ts","lines 489-526","Terms are a draft foundation and not binding operational terms.","J","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","No","High","Legal counsel","Legal review","Must remain conspicuously draft."
"TERMS-002","/terms","acceptable use","apps/web/src/content/legal.ts","lines 527-546","A proposed acceptable-use baseline restricts harmful unlawful and deceptive use.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Legal counsel","Legal review","Enforcement authority is not approved."
"TERMS-003","/terms","planned services","apps/web/src/content/legal.ts","lines 547-580","Membership Tamil ID chapters events content partner and payment services are unavailable and require service-specific terms.","J","F;H","Yes","source-materials/Tamil-Ulagam-Source.pptx","6-21","Source presents many capabilities and availability claims.","No","Yes","No","High","Legal counsel","Keep as written","Safe service boundary."
"TERMS-004","/terms","identity and professional services","apps/web/src/content/legal.ts","lines 581-607","Tamil ID is not official identity and the site provides no medical legal financial or emergency service.","J","F;D","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Legal counsel","Legal review","Essential high-risk distinctions."
"TERMS-005","/terms","IP links accuracy affiliation","apps/web/src/content/legal.ts","lines 608-673","Intellectual property external links accuracy availability and affiliation rules remain draft.","F","D","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Legal counsel","Legal review","Ownership and permitted use require confirmation."
"TERMS-006","/terms","chapters events accounts","apps/web/src/content/legal.ts","lines 664-703","Future chapters events editorial content accounts and memberships require separate approved rules.","F","D;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Legal counsel","Defer until operational","Service terms not yet drafted."
"TERMS-007","/terms","enforcement liability disputes","apps/web/src/content/legal.ts","lines 704-755","Suspension liability governing law and dispute procedures are unapproved.","F","D;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Legal counsel","Legal review","No jurisdiction or venue selected."
"TERMS-008","/terms","versioning launch","apps/web/src/content/legal.ts","lines 758-819","Binding terms need versioning notice operator jurisdiction rights and formal review before launch.","F","D;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Legal counsel","Remove before launch","Replace draft with approved terms when services operate."
